rank,skill_id,name,domain,path,rank_score,priority_tier,owner,status,quality_score,passing,scripts,references
1,engineering-team.skills.incident-commander,incident-commander,engineering-team,engineering-team/skills/incident-commander,147,critical,Claude App,baseline,86,true,6,18
2,engineering-team.skills.tdd-guide,tdd-guide,engineering-team,engineering-team/skills/tdd-guide,145,critical,Claude App,baseline,86,true,8,7
3,engineering.skills.skill-tester,skill-tester,engineering,engineering/skills/skill-tester,142,critical,Claude App,baseline,86,true,5,11
4,engineering.skills.dependency-auditor,dependency-auditor,engineering,engineering/skills/dependency-auditor,136,critical,Claude App,baseline,86,true,3,9
5,engineering.skills.migration-architect,migration-architect,engineering,engineering/skills/migration-architect,136,critical,Claude App,baseline,86,true,3,15
6,engineering.skills.observability-designer,observability-designer,engineering,engineering/skills/observability-designer,136,critical,Claude App,baseline,86,true,3,8
7,engineering.llm-wiki.skills.llm-wiki,llm-wiki,engineering,engineering/llm-wiki/skills/llm-wiki,134,critical,Claude App,baseline,86,true,8,34
8,engineering-team.google-workspace-cli.skills.google-workspace-cli,google-workspace-cli,engineering-team,engineering-team/google-workspace-cli/skills/google-workspace-cli,133,critical,Claude App,baseline,86,true,5,5
9,engineering-team.skills.tech-stack-evaluator,tech-stack-evaluator,engineering-team,engineering-team/skills/tech-stack-evaluator,132,critical,Claude App,baseline,86,true,7,7
10,engineering-team.a11y-audit.skills.a11y-audit,a11y-audit,engineering-team,engineering-team/a11y-audit/skills/a11y-audit,130,critical,Claude App,baseline,86,true,2,13
11,engineering.skills.tc-tracker,tc-tracker,engineering,engineering/skills/tc-tracker,130,critical,Claude App,baseline,86,true,5,3
12,engineering-team.skills.epic-design,epic-design,engineering-team,engineering-team/skills/epic-design,129,critical,Claude App,baseline,86,true,1,9
13,engineering.skills.tech-debt-tracker,tech-debt-tracker,engineering,engineering/skills/tech-debt-tracker,129,critical,Claude App,baseline,86,true,3,13
14,engineering-team.skills.senior-qa,senior-qa,engineering-team,engineering-team/skills/senior-qa,128,critical,Claude App,baseline,86,true,3,3
15,engineering-team.skills.aws-solution-architect,aws-solution-architect,engineering-team,engineering-team/skills/aws-solution-architect,127,critical,Claude App,baseline,86,true,3,5
16,engineering-team.skills.senior-computer-vision,senior-computer-vision,engineering-team,engineering-team/skills/senior-computer-vision,127,critical,Claude App,baseline,86,true,3,4
17,engineering.skills.agent-designer,agent-designer,engineering,engineering/skills/agent-designer,127,critical,Claude App,baseline,100,true,0,9
18,engineering.skills.release-manager,release-manager,engineering,engineering/skills/release-manager,127,critical,Claude App,baseline,100,true,0,10
19,engineering.skills.database-designer,database-designer,engineering,engineering/skills/database-designer,126,critical,Claude App,baseline,100,true,0,10
